企业名称,统一社会信用代码,注册资本,注册地点,成立日期,经营范围,行业分类,公司规模,法人姓名,法人身份,法人背景,其他信息
腾讯科技公司,91310100MA1G0QJX4A,1000万,上海市,2019/1/1,信息传输、计算机服务业,信息传输、计算机服务业,5000-10000人,马化腾,企业家,深圳大学毕业,无
阿里巴巴集团,91310100MA1G0QJX4B,2000万,杭州市,1999/1/1,电子商务、云计算,信息传输、计算机服务业,10000人以上,马云,企业家,杭州师范大学毕业,无
百度公司,91310100MA1G0QJX4C,1500万,北京市,2000/1/1,搜索引擎、人工智能,信息传输、计算机服务业,5000-10000人,李彦宏,企业家,北京大学毕业,无
华为技术有限公司,91310100MA1G0QJX4D,5000万,深圳市,1987/1/1,通信设备、电子产品,制造业,10000人以上,任正非,企业家,重庆建筑工程学院毕业,无
小米科技有限责任公司,91310100MA1G0QJX4E,1000万,北京市,2010/1/1,智能手机、智能家居,制造业,5000-10000人,雷军,企业家,武汉大学毕业,无
京东集团,91310100MA1G0QJX4F,3000万,北京市,1998/1/1,电子商务、物流,批发和零售业,10000人以上,刘强东,企业家,中国人民大学毕业,无
字节跳动有限公司,91310100MA1G0QJX4G,1000万,北京市,2012/1/1,互联网信息服务,信息传输、计算机服务业,5000-10000人,张一鸣,企业家,南开大学毕业,无
美团公司,91310100MA1G0QJX4H,2000万,北京市,2010/1/1,生活服务、外卖,信息传输、计算机服务业,10000人以上,王兴,企业家,清华大学毕业,无
滴滴出行科技有限公司,91310100MA1G0QJX4I,1000万,北京市,2012/1/1,网约车、共享出行,信息传输、计算机服务业,5000-10000人,程维,企业家,北京化工大学毕业,无
拼多多公司,91310100MA1G0QJX4J,1000万,上海市,2015/1/1,电子商务、社交电商,批发和零售业,5000-10000人,黄峥,企业家,浙江大学毕业,无
网易公司,91310100MA1G0QJX4K,2000万,广州市,1997/1/1,互联网信息服务、游戏,信息传输、计算机服务业,5000-10000人,丁磊,企业家,电子科技大学毕业,无
新浪公司,91310100MA1G0QJX4L,1000万,北京市,1998/1/1,互联网信息服务、媒体,信息传输、计算机服务业,5000-10000人,曹国伟,企业家,上海复旦大学毕业,无
搜狐公司,91310100MA1G0QJX4M,1000万,北京市,1998/1/1,互联网信息服务、媒体,信息传输、计算机服务业,5000-10000人,张朝阳,企业家,清华大学毕业,无
联想集团,91310100MA1G0QJX4N,5000万,北京市,1984/1/1,计算机、电子产品,制造业,10000人以上,杨元庆,企业家,中国科学技术大学毕业,无
中兴通讯股份有限公司,91310100MA1G0QJX4O,3000万,深圳市,1985/1/1,通信设备、电子产品,制造业,10000人以上,李自学,企业家,西安电子科技大学毕业,无
海康威视数字技术股份有限公司,91310100MA1G0QJX4P,2000万,杭州市,2001/1/1,安防产品、视频监控,制造业,5000-10000人,陈宗年,企业家,浙江大学毕业,无
比亚迪股份有限公司,91310100MA1G0QJX4Q,5000万,深圳市,1995/1/1,汽车、电池,制造业,10000人以上,王传福,企业家,中南大学毕业,无
格力电器股份有限公司,91310100MA1G0QJX4R,3000万,珠海市,1991/1/1,家用电器、空调,制造业,10000人以上,董明珠,企业家,安徽芜湖职业技术学院毕业,无
美的集团股份有限公司,91310100MA1G0QJX4S,5000万,佛山市,1968/1/1,家用电器、智能家居,制造业,10000人以上,方洪波,企业家,华东师范大学毕业,无
中国平安保险（集团）股份有限公司,91310100MA1G0QJX4T,10000万,深圳市,1988/1/1,保险、金融,金融业,10000人以上,马明哲,企业家,中南财经政法大学毕业,无
